epoch	train_ppl_0.9	valid_ppl_0.9
1	343.68	144.83
2	150.90	116.37
3	134.03	99.06
4	126.98	93.56
5	123.55	91.58
6	121.66	90.85
7	119.64	85.87
8	119.44	87.47
9	115.02	83.42
10	112.97	82.36
11	112.09	80.34
12	110.53	79.19
13	109.81	78.50
14	109.27	78.03
15	109.07	77.58
16	108.24	76.54
17	108.01	75.90
18	106.53	75.05
19	107.03	75.22
20	105.95	74.84
21	105.29	74.51
22	104.81	74.18
23	104.81	73.98
24	104.87	73.95
25	104.39	73.54
26	103.88	73.57
27	104.40	73.55
28	103.93	73.54
29	103.62	73.53
30	104.45	73.53
31	104.08	73.52
32	103.22	73.52
33	102.95	73.52
34	104.37	73.52
35	104.25	73.52
36	103.96	73.52
37	103.63	73.52
38	104.14	73.52
39	103.75	73.52
40	104.06	73.52
41	103.67	73.52
42	103.91	73.52
43	103.56	73.52
44	104.10	73.52
45	103.72	73.52
46	103.68	73.52
47	103.53	73.52
48	103.72	73.52
49	103.74	73.52
50	103.83	73.52
test_ppl	74.09
