epoch	train_ppl_0.0	valid_ppl_0.0
1	299.23	137.85
2	95.23	61.04
3	63.42	46.37
4	50.72	38.48
5	43.30	32.88
6	37.84	28.32
7	33.22	25.39
8	29.11	21.84
9	24.98	19.14
10	20.93	16.42
11	17.41	14.34
12	14.52	12.75
13	12.18	11.61
14	10.31	10.42
15	8.86	9.29
16	7.71	8.85
17	6.83	8.15
18	6.12	7.55
19	5.57	7.08
20	5.12	6.75
21	4.75	6.09
22	4.44	5.76
23	4.18	5.49
24	3.98	5.40
25	3.84	5.11
26	3.66	4.72
27	3.52	4.80
28	3.01	3.43
29	2.32	3.08
30	2.00	2.92
31	1.81	2.76
32	1.68	2.64
33	1.57	2.52
34	1.50	2.50
35	1.44	2.39
36	1.38	2.37
37	1.34	2.34
38	1.31	2.29
39	1.28	2.28
40	1.25	2.29
41	1.26	2.08
42	1.20	2.04
43	1.18	2.00
44	1.17	1.99
45	1.15	1.99
46	1.15	1.97
47	1.14	1.94
48	1.13	1.93
49	1.13	1.93
50	1.12	1.91
test_ppl	2.02
