epoch	train_ppl_0.2	valid_ppl_0.2	train_ppl_0.3	valid_ppl_0.3	train_ppl_0.6	valid_ppl_0.6	train_ppl_0.8	valid_ppl_0.8	train_ppl_0.9	valid_ppl_0.9	train_ppl_0.0	valid_ppl_0.0
1	319.5	271.3	304.54	124.83	309.03	108.78	309.15	134.95	343.68	144.83	299.23	137.85
2	100.32	180.77	101.23	89.3	104.35	61.74	115.23	81.52	150.9	116.37	95.23	61.04
3	69.4	160.11	71.02	75.34	76.68	51.52	93.31	64.59	134.03	99.06	63.42	46.37
4	57.28	139.76	59.05	60.33	66.16	42.98	85.49	56.92	126.98	93.56	50.72	38.48
5	50.03	125.51	52.12	52.87	60.19	39.2	81.92	51.42	123.55	91.58	43.3	32.88
6	44.45	116.47	46.77	43.44	56.2	36.28	79.25	49.56	121.66	90.85	37.84	28.32
7	40.21	106.4	42.87	40.49	53.24	34.06	77.43	47.91	119.64	85.87	33.22	25.39
8	36.54	97.24	39.45	36.67	51.27	33.21	76.33	46.2	119.44	87.47	29.11	21.84
9	33.45	92.34	36.57	34.13	49.49	31.67	74.89	46.21	115.02	83.42	24.98	19.14
10	30.72	92.32	34.13	31.04	47.82	30.56	70.87	42.94	112.97	82.36	20.93	16.42
11	28.09	86.81	31.92	28.98	46.58	29.56	68.84	42.16	112.09	80.34	17.41	14.34
12	25.81	76.12	29.89	27.8	45.48	28.65	67.68	41.7	110.53	79.19	14.52	12.75
13	23.77	72.42	28.18	25.42	44.89	28.25	66.72	41.64	109.81	78.5	12.18	11.61
14	21.94	76.48	26.5	23.75	43.72	27.47	66.32	41.24	109.27	78.03	10.31	10.42
15	16.61	63.3	24.97	23.04	43.07	26.73	65.78	40.89	109.07	77.58	8.86	9.29
16	15.0	60.58	23.45	21.86	42.17	26.47	65.39	40.43	108.24	76.54	7.71	8.85
17	14.08	54.93	22.19	20.63	41.6	26.15	64.76	40.17	108.01	75.9	6.83	8.15
18	13.41	52.77	20.78	19.78	41.24	25.56	64.6	39.93	106.53	75.05	6.12	7.55
19	12.74	52.77	19.75	18.9	40.69	25.37	64.0	39.78	107.03	75.22	5.57	7.08
20	11.86	52.18	18.75	18.23	40.23	25.04	63.53	39.4	105.95	74.84	5.12	6.75
21	11.5	51.03	17.79	17.34	40.06	24.96	63.38	39.24	105.29	74.51	4.75	6.09
22	11.31	51.2	16.96	16.61	39.57	24.4	63.03	38.96	104.81	74.18	4.44	5.76
23	11.22	50.36	16.42	15.8	39.16	24.42	62.46	38.93	104.81	73.98	4.18	5.49
24	11.04	50.06	15.8	15.26	35.83	22.95	62.21	38.72	104.87	73.95	3.98	5.4
25	10.97	50.28	15.26	14.99	34.42	22.54	62.47	38.66	104.39	73.54	3.84	5.11
26	10.95	50.03	14.66	14.38	33.73	22.28	61.77	38.36	103.88	73.57	3.66	4.72
27	10.91	49.86	14.22	13.94	33.27	22.15	61.72	38.08	104.4	73.55	3.52	4.8
28	10.96	49.62	14.0	13.67	32.87	21.97	61.35	37.91	103.93	73.54	3.01	3.43
29	10.93	49.56	13.55	13.37	32.51	21.77	61.31	37.81	103.62	73.53	2.32	3.08
30	10.84	49.43	13.21	13.14	32.25	21.72	60.81	37.81	104.45	73.53	2.0	2.92
31	10.82	49.45	12.96	12.9	31.89	21.52	60.51	37.78	104.08	73.52	1.81	2.76
32	10.77	49.41	12.77	12.57	31.62	21.45	60.67	37.56	103.22	73.52	1.68	2.64
33	10.78	49.37	12.51	12.38	31.32	21.28	60.25	37.36	102.95	73.52	1.57	2.52
34	10.8	49.37	12.4	12.24	31.17	21.29	60.07	37.27	104.37	73.52	1.5	2.5
35	10.85	49.34	12.11	11.95	30.63	21.08	60.05	37.11	104.25	73.52	1.44	2.39
36	10.78	49.33	12.07	11.84	30.29	21.0	59.76	37.17	103.96	73.52	1.38	2.37
37	10.76	49.33	11.9	11.71	30.14	20.98	58.5	36.83	103.63	73.52	1.34	2.34
38	10.8	49.27	11.83	11.72	30.02	20.92	58.34	36.75	104.14	73.52	1.31	2.29
39	10.81	49.23	9.96	10.49	30.0	20.88	57.99	36.71	103.75	73.52	1.28	2.28
40	10.81	49.23	8.98	10.14	29.78	20.83	57.86	36.65	104.06	73.52	1.25	2.29
41	10.78	49.22	8.58	9.87	29.7	20.78	57.64	36.62	103.67	73.52	1.26	2.08
42	10.79	49.22	8.23	9.69	29.7	20.76	57.8	36.56	103.91	73.52	1.2	2.04
43	10.77	49.22	7.96	9.55	29.58	20.71	57.71	36.56	103.56	73.52	1.18	2.0
44	10.78	49.22	7.74	9.43	29.56	20.67	57.4	36.55	104.1	73.52	1.17	1.99
45	10.73	49.22	7.55	9.3	29.46	20.64	57.41	36.49	103.72	73.52	1.15	1.99
46	10.75	49.22	7.42	9.23	29.45	20.6	57.37	36.46	103.68	73.52	1.15	1.97
47	10.75	49.22	7.27	9.1	29.38	20.58	57.36	36.42	103.53	73.52	1.14	1.94
48	10.74	49.22	7.16	9.09	29.29	20.55	57.13	36.43	103.72	73.52	1.13	1.93
49	10.78	49.22	7.05	9.0	29.15	20.51	57.19	36.39	103.74	73.52	1.13	1.93
50	10.78	49.22	6.93	8.9	29.2	20.5	57.07	36.34	103.83	73.52	1.12	1.91
