epoch	train_ppl_0.9	valid_ppl_0.9	train_ppl_0.6	valid_ppl_0.6	train_ppl_0.3	valid_ppl_0.3	train_ppl_0.0	valid_ppl_0.0
1	1119.56	460.21	738.63	293.7	834.57	353.17	918.02	381.49
2	442.16	199.04	325.04	165.51	314.5	199.19	311.04	207.33
3	292.9	170.33	196.82	125.92	186.33	132.98	190.11	136.84
4	250.98	158.98	159.76	112.77	144.85	109.77	143.36	114.01
5	227.48	139.27	139.2	98.31	125.23	96.29	122.56	101.29
6	214.68	133.71	127.35	90.78	113.72	88.79	110.27	92.81
7	201.83	129.99	117.42	84.3	105.21	81.88	101.97	86.25
8	193.54	126.18	110.99	78.9	98.3	75.24	95.11	80.04
9	185.96	123.6	105.07	74.86	92.08	71.11	88.8	73.2
10	180.58	120.55	99.46	69.81	86.8	66.52	83.17	67.9
11	176.18	118.97	95.38	67.86	82.48	63.18	78.59	64.55
12	171.95	117.7	91.65	65.08	78.93	60.56	74.73	62.11
13	169.32	116.37	88.66	62.51	75.75	58.04	71.53	60.33
14	166.02	112.95	85.79	60.18	73.0	55.86	68.74	58.42
15	162.43	113.99	83.92	58.63	70.85	54.43	66.33	56.08
16	158.43	112.72	81.45	56.93	68.53	52.33	64.1	54.71
17	157.61	112.05	79.91	55.54	66.81	50.51	62.04	52.86
18	156.68	111.85	78.06	54.25	64.8	49.08	60.14	50.48
19	155.26	111.49	76.46	53.31	63.32	47.51	58.39	48.94
20	155.19	111.77	74.77	51.62	61.53	46.22	56.75	47.32
21	153.78	110.83	73.34	50.58	60.23	45.03	55.17	46.59
22	153.41	110.87	72.06	49.67	58.83	44.14	53.71	45.07
23	153.57	110.83	70.71	48.51	57.65	43.18	52.34	43.9
24	153.2	110.79	69.52	47.61	56.48	42.0	51.04	42.91
25	153.32	110.78	68.51	47.05	55.42	41.2	49.85	42.15
26	154.06	110.78	67.47	46.46	54.29	40.41	48.74	41.19
27	152.96	110.79	66.42	45.24	53.29	39.56	47.65	40.32
28	153.28	110.79	65.73	44.66	52.36	38.71	46.55	39.26
29	153.67	110.79	64.84	44.13	51.74	37.98	45.61	38.49
30	152.64	110.79	63.95	43.32	50.6	37.44	44.63	37.62
31	152.98	110.79	63.14	42.73	49.8	36.47	43.69	36.49
32	153.11	110.79	62.27	41.98	49.01	35.85	42.83	36.36
33	153.73	110.79	61.55	41.68	48.31	35.44	41.96	35.5
34	153.59	110.79	60.85	40.9	47.46	34.62	41.15	35.1
35	153.03	110.79	60.21	40.55	46.92	34.22	40.28	33.94
36	153.5	110.79	59.46	40.09	46.28	33.84	39.61	33.31
37	152.97	110.79	59.05	39.6	45.64	33.23	38.79	33.15
38	154.23	110.79	58.41	39.09	45.02	32.9	38.07	32.35
39	153.34	110.79	57.74	38.7	44.34	32.27	37.33	32.14
40	153.49	110.79	57.25	38.49	43.74	31.83	36.68	31.51
41	154.09	110.79	57.09	38.06	43.42	31.67	35.93	31.16
42	152.52	110.79	56.35	37.62	42.76	31.04	35.31	30.17
43	154.3	110.79	55.7	37.22	42.26	30.95	34.72	30.05
44	152.97	110.79	55.28	36.85	41.64	30.09	34.02	29.43
45	153.69	110.79	54.68	36.5	41.19	29.98	33.36	28.74
46	153.59	110.79	54.36	36.42	40.74	29.34	32.83	28.21
47	153.78	110.79	54.01	35.88	40.29	29.1	32.19	27.6
48	153.06	110.79	53.44	35.68	39.79	28.68	31.64	27.0
49	152.72	110.79	53.02	35.34	39.36	28.24	31.02	27.26
50	153.27	110.79	52.73	34.98	38.85	28.01	28.6	24.45
